Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
214.058933732801,C00327,M+K [1+],279.426,8.44358009999269e-05,EC000102
191.08162507833,C00328,M-H2O+H [1+],697.9385,0.000156351560008261,EC000103
209.092174606121,C00328,M+H [1+],726.1195,0.000106346121015122,EC000103
226.118983297716,C00328,M+NH4 [1+],718.03,0.000368037715986702,EC000103
231.073934491047,C00328,M+Na [1+],726.602,7.57689529962136e-05,EC000103
162.076090265583,C00329,M-H2O+H [1+],587.251,4.12678130032873e-05,EC000104
162.076142480648,C00329,M-H2O+H [1+],350.247,9.34828780145835e-05,EC000105
162.076246415472,C00329,M-H2O+H [1+],688.194,0.000197417702025859,EC000106
250.093554323498,C00330,M-H2O+H [1+],690.824,0.000123927728026274,EC00075
268.104311453016,C00330,M+H [1+],651.347,0.000281524016031653,EC00075
